qid,backend,question,generated_answer,reference_answer,correctness,lexical_faithfulness
q01,extractive,What's the difference between precision and recall?,"The F1 score is the harmonic mean of precision and recall, calculated as 2 times precision times recall, divided by the sum of precision and recall. Random assignment is what makes A/B tests a reliable way to establish causation rather than mere correlation, since it balances both observed and unobserved characteristics between groups on average.",Precision is the fraction of predicted positives that are actually correct; recall is the fraction of actual positives that were correctly identified.,0.16901408450704228,1.0
q02,extractive,Why use F1 score instead of just averaging precision and recall?,"The F1 score is the harmonic mean of precision and recall, calculated as 2 times precision times recall, divided by the sum of precision and recall. The harmonic mean is used instead of a simple average because it penalizes extreme imbalances more heavily: a model with precision of 1.0 and recall of 0.01 gets an F1 score close to 0.02, not 0.5, correctly reflecting that the model is nearly useless despite its perfect precision.","F1 is the harmonic mean of precision and recall, which penalizes extreme imbalances between the two more heavily than a simple average would.",0.34883720930232553,1.0
q03,extractive,What causes a model to overfit?,"Variance is the error introduced by a model's sensitivity to small fluctuations in the training data; high-variance models tend to overfit. Common causes include using an overly simple model (such as linear regression for a clearly non-linear relationship), too much regularization, or training for too few iterations before the model has had a chance to learn.","Overfitting happens when a model is too complex for the amount of training data or trains too long, learning noise instead of the true underlying pattern.",0.22222222222222224,1.0
q04,extractive,How is underfitting different from overfitting?,"Early embedding methods like Word2Vec and GloVe assign one fixed vector per word, learned from how often words co-occur in large amounts of text, so the same word always has the same vector regardless of context. Because individual trees tend to overfit but in different, somewhat random ways, averaging many of them cancels out much of that overfitting, substantially reducing variance compared to a single deep tree while keeping bias roughly the same.","Underfitting causes high error on both training and test data because the model is too simple, while overfitting causes low training error but high test error.",0.10638297872340427,1.0
q05,extractive,What is the bias-variance tradeoff?,The bias-variance tradeoff describes a fundamental tension in model fitting. Variance is the error introduced by a model's sensitivity to small fluctuations in the training data; high-variance models tend to overfit.,"It's the tension between a model's bias (error from oversimplifying) and variance (error from being too sensitive to the training data), which together determine total prediction error.",0.27999999999999997,1.0
q06,extractive,How does k-fold cross-validation work?,"Cross-validation is a technique for estimating how well a model will generalize to unseen data, using only the training set. In k-fold cross-validation, the data is split into k roughly equal parts; the model is trained on k-1 parts and evaluated on the remaining part, and this is repeated k times so every part serves as the test set exactly once.","The data is split into k parts; the model trains on k-1 parts and tests on the remaining part, repeating k times so every part is tested once, then the scores are averaged.",0.5060240963855421,1.0
q07,extractive,What's the difference between L1 and L2 regularization?,"Regularization adds a penalty term to a model's loss function to discourage overly complex solutions and reduce overfitting. Random assignment is what makes A/B tests a reliable way to establish causation rather than mere correlation, since it balances both observed and unobserved characteristics between groups on average.","L2 shrinks coefficients smoothly toward zero, while L1 can shrink some coefficients exactly to zero, effectively performing feature selection.",0.031746031746031744,1.0
q08,extractive,What does the learning rate control in gradient descent?,"Backpropagation is the algorithm used to efficiently compute the gradient of a neural network's loss function with respect to every weight in the network, which is what gradient descent needs in order to update those weights. The size of that step is controlled by the learning rate: too large and the algorithm can overshoot the minimum or diverge; too small and training becomes very slow.","It controls the step size used when updating parameters; too large can overshoot or diverge, too small makes training very slow.",0.3636363636363636,1.0
q09,extractive,Why is logistic regression used for classification rather than predicting continuous values?,"Despite the name, it is used for classification, not regression of a continuous value. After pretraining, BERT is typically fine-tuned on a smaller, labeled dataset for a specific downstream task, such as sentiment classification or question answering, which made it a very effective general-purpose starting point rather than training a task-specific model entirely from scratch.","It applies a sigmoid function to squash its output into a 0-to-1 probability, which is interpreted as the probability of a binary class.",0.14705882352941177,1.0
q10,extractive,How does a decision tree decide where to split the data?,"Each tree is trained on a random bootstrap sample of the training data, and at each split, only a random subset of features is considered, which decorrelates the trees from one another. At each split, the algorithm chooses the feature and threshold that best separates the data according to a criterion like Gini impurity or information gain (for classification) or variance reduction (for regression).","It picks the feature and threshold that best separates the data according to a criterion like Gini impurity, information gain, or variance reduction.",0.4736842105263158,1.0
